ZIPCode,State,ZIPCodeType,POName,PrimaryRUCA,SecondaryRUCA
00001,AK,ZIP Code Area,N Dillingham,10,10
00002,AK,ZIP Code Area,Yukon Flats Nat Wildlife,10,10
00003,AK,ZIP Code Area,Alaska Peninsula NWR,10,10
00004,AK,ZIP Code Area,W Kenai Peninsula Borough,10,10
00005,AK,ZIP Code Area,N Lake and Peninsula Borough,10,10
00006,AK,ZIP Code Area,Matanuska-Sustina Borough,10,10.1
00007,AK,ZIP Code Area,Southerly North Slope Borough,10,10
00008,AK,ZIP Code Area,Aleutians West,10,10
00009,AK,ZIP Code Area,Lake Clark National Preserve,10,10
00010,AK,ZIP Code Area,Yukon Delta Wilderness,10,10
00011,AK,ZIP Code Area,Kenai Ntl Wildlife Refuge,10,10
00012,CA,ZIP Code Area,Mt Meadows Area,10,10
00013,HI,ZIP Code Area,Leeward Islands,10,10
00014,AZ,ZIP Code Area,West Pima County,10,10
00015,AZ,ZIP Code Area,Coronado Ntl Forest,1,1
00016,CA,ZIP Code Area,Sequoia National Forest,10,10.3
00017,CA,ZIP Code Area,Northeast Fresno County,2,2
00018,CA,ZIP Code Area,Los Padres Ntl Forest,10,10
00019,CA,ZIP Code Area,Lassen Ntl Forest,10,10
00020,CA,ZIP Code Area,Sierra National Forest,10,10
00022,CA,ZIP Code Area,Jackson St Forest,5,5
00026,CA,ZIP Code Area,East Tulare County,10,10
00027,CO,ZIP Code Area,Pike Ntl Forest,10,10.1
00028,CA,ZIP Code Area,Plumas Ntl Forest,10,10
00029,CA,ZIP Code Area,Tahoe National Forest,10,10
00031,CA,ZIP Code Area,Lassen National Forest,10,10
00032,CA,ZIP Code Area,Los Padres Ntl Forest,10,10
00033,CA,ZIP Code Area,Tahoe National Forest,10,10
00034,CA,ZIP Code Area,Klamath National Forest,10,10
00035,CA,ZIP Code Area,Modoc/Shasta/Klamath Forest,10,10
00037,CA,ZIP Code Area,West Tehama County,6,6
00038,CA,ZIP Code Area,East Tehama County,5,5
00039,CA,ZIP Code Area,Southeast Trinity County,10,10
00040,CA,ZIP Code Area,Yosemite Ntl Park,10,10
00041,FL,ZIP Code Area,West Broward County,10,10
00042,FL,ZIP Code Area,Southwest Brevard Cnty,1,1
00043,FL,ZIP Code Area,Everglades,2,2
00044,CA,ZIP Code Area,South Alpine County,10,10
00045,FL,ZIP Code Area,Southeast Marion Cnty,2,2
00047,CA,ZIP Code Area,West Glenn County,10,10
00048,CA,ZIP Code Area,Mendocino Ntl Forest,5,5
00049,CA,ZIP Code Area,Six Rivers National Forest,10,10
00050,CA,ZIP Code Area,Six Rivers Ntl Forest,10,10
00051,CA,ZIP Code Area,Eldorado Ntl Forest,10,10
00052,CA,ZIP Code Area,Eldorado Ntl Forest,10,10
00053,FL,ZIP Code Area,Southwest Palm Beach Co,1,1
00054,CA,ZIP Code Area,Six Rivers Ntl Forest,10,10
00055,CA,ZIP Code Area,Trinity Ntl Forest,10,10
00056,ID,ZIP Code Area,Snake River Birds of Prey,2,2
00057,CA,ZIP Code Area,Channel Islands National Park,10,10
00058,CA,ZIP Code Area,Yosemite Ntl Park,10,10
00059,MN,ZIP Code Area,Voyageurs Natl Park,10,10
00060,MN,ZIP Code Area,Superior National Forest,10,10
00061,CA,ZIP Code Area,Channel Is Air Guard Station,10,10
00063,MT,ZIP Code Area,Benton Lake NWR,2,2
00064,NM,ZIP Code Area,Sandoval County,10,10
00065,CA,ZIP Code Area,Plumas National Park,10,10
00066,NM,ZIP Code Area,White Sands Missile Rnge,10,10
00067,OK,ZIP Code Area,N Central Comanche Cnty,2,2
00068,OR,ZIP Code Area,Siuslaw Ntl Forest,5,5
00069,OR,ZIP Code Area,Willamette Ntl Forest,2,2
00070,OR,ZIP Code Area,Mt Hood National Forest,10,10
00071,UT,ZIP Code Area,Uinta Ntl Forest,2,2
00072,WA,ZIP Code Area,National Forest/Park,2,2
00073,WA,ZIP Code Area,Usdoe Hanford Site,10,10
00074,WA,ZIP Code Area,Yakama Indian Reservation,2,2
00076,WA,ZIP Code Area,Okanogan Natl Park,10,10
00077,OR,ZIP Code Area,Willamette Natl Forest,10,10
00084,NC,ZIP Code Area,Hoffman Forest,1,1
00087,FL,ZIP Code Area,NW Indian River County,10,10
00097,FL,ZIP Code Area,Everglades-Monroe County,10,10
00098,FL,ZIP Code Area,Everglades-S Monroe Cnty,10,10
00100,UT,ZIP Code Area,Wasatch National Forest,1,1
00116,LA,ZIP Code Area,Marsh Island,6,6
00119,LA,ZIP Code Area,Timbalier Islands,4,4.1
00121,LA,ZIP Code Area,Mississippi Delta,2,2
00125,ME,ZIP Code Area,Northwest Aroostook,10,10
00126,ME,ZIP Code Area,North Franklin County,10,10
00127,ME,ZIP Code Area,East Hancock County,10,10
00128,ME,ZIP Code Area,North Oxford County,10,10
00130,ME,ZIP Code Area,North Penobscot County,10,10
00132,ME,ZIP Code Area,North Somerset County,10,10
00133,ME,ZIP Code Area,West Central Somerset Co,10,10
00134,ME,ZIP Code Area,Northern Washington Co,10,10
00135,ME,ZIP Code Area,Northern Piscataquis CNT,10,10
00137,ME,ZIP Code Area,Central Aroostook Cnty,8,8
00138,ME,ZIP Code Area,South Aroostook Cnty,8,8
00139,ME,ZIP Code Area,TWPS D-E-6-Franklin Cnty,10,10
00141,ME,ZIP Code Area,T3 R1 NBPP-Penobscot Co,3,3
00148,ME,ZIP Code Area,NE Aroostook County,10,10
00151,ME,ZIP Code Area,S Central Washington Co,10,10
00152,MD,ZIP Code Area,Assateague Island Ntl SE,3,3
00158,MA,ZIP Code Area,Monomoy Island,1,1
00160,MN,ZIP Code Area,Superior National Forest,10,10
00161,MN,ZIP Code Area,Superior National Forest,10,10
00164,MN,ZIP Code Area,Northwest Beltrami Cnty,10,10
00165,MN,ZIP Code Area,Beltrami Island State Forest,10,10
00166,MN,ZIP Code Area,Red Lake Indian Reservation,10,10
00168,NH,ZIP Code Area,Beans Purchase,7,7
00172,NH,ZIP Code Area,Hadleys Purchase,10,10
00173,NH,ZIP Code Area,Cutts Grant,10,10
00174,NH,ZIP Code Area,Beans Grant,10,10
00176,NH,ZIP Code Area,Sargents Purchase,10,10
00177,NH,ZIP Code Area,Pinkham Grant,7,7
00179,NH,ZIP Code Area,Chandlers Purchase,10,10
00180,NH,ZIP Code Area,Thompson/Meserves Purchase,10,10
00181,NH,ZIP Code Area,Low and Burbanks Grant,10,10
00182,NH,ZIP Code Area,Crawfords Purchase,10,10
00183,NH,ZIP Code Area,Greens Grant,7,7
00184,NH,ZIP Code Area,Martins Location,7,7
00185,NH,ZIP Code Area,Kilkenny,10,10
00188,TX,ZIP Code Area,Padre Island Ntl Seashore,5,5
00195,WA,ZIP Code Area,Long Island,10,10
00197,AZ,ZIP Code Area,B M Goldwater A F Range,2,2
00198,AK,ZIP Code Area,E Mncplty of Anchorage,2,2
00199,AZ,ZIP Code Area,Tonto National Forest,1,1
00501,NY,Post Office or large volume customer,Holtsville,1,1
00544,NY,Post Office or large volume customer,Holtsville,1,1
00601,PR,ZIP Code Area,Adjuntas,10,10
00602,PR,ZIP Code Area,Aguada,1,1
00603,PR,ZIP Code Area,Aguadilla,1,1
00604,PR,Post Office or large volume customer,Aguadilla,1,1
00605,PR,Post Office or large volume customer,Aguadilla,1,1
00606,PR,ZIP Code Area,Maricao,10,10
00610,PR,ZIP Code Area,Anasco,1,1
00611,PR,Post Office or large volume customer,Angeles,10,10
00612,PR,ZIP Code Area,Arecibo,1,1
00613,PR,Post Office or large volume customer,Arecibo,1,1
00614,PR,Post Office or large volume customer,Arecibo,1,1
00616,PR,ZIP Code Area,Bajadero,1,1
00617,PR,ZIP Code Area,Barceloneta,1,1
00622,PR,ZIP Code Area,Boqueron,1,1
00623,PR,ZIP Code Area,Cabo Rojo,1,1
00624,PR,ZIP Code Area,Penuelas,1,1
00627,PR,ZIP Code Area,Camuy,1,1
00631,PR,ZIP Code Area,Castaner,10,10
00637,PR,ZIP Code Area,Sabana Grande,1,1
00638,PR,ZIP Code Area,Ciales,4,4
00641,PR,ZIP Code Area,Utuado,10,10
00646,PR,ZIP Code Area,Dorado,1,1
00647,PR,ZIP Code Area,Ensenada,7,7
00650,PR,ZIP Code Area,Florida,1,1
00652,PR,ZIP Code Area,Garrochales,1,1
00653,PR,ZIP Code Area,Guanica,7,7
00656,PR,ZIP Code Area,Guayanilla,1,1
00659,PR,ZIP Code Area,Hatillo,1,1
00660,PR,ZIP Code Area,Hormigueros,1,1
00662,PR,ZIP Code Area,Isabela,1,1
00664,PR,ZIP Code Area,Jayuya,7,7
00667,PR,ZIP Code Area,Lajas,1,1
00669,PR,ZIP Code Area,Lares,4,4
00670,PR,ZIP Code Area,Las Marias,10,10
00674,PR,ZIP Code Area,Manati,1,1
00676,PR,ZIP Code Area,Moca,1,1
00677,PR,ZIP Code Area,Rincon,1,1
00678,PR,ZIP Code Area,Quebradillas,1,1
00680,PR,ZIP Code Area,Mayaguez,1,1
00681,PR,Post Office or large volume customer,Mayaguez,1,1
00682,PR,ZIP Code Area,Mayaguez,1,1
00683,PR,ZIP Code Area,San German,1,1
00685,PR,ZIP Code Area,San Sebastian,1,1
00687,PR,ZIP Code Area,Morovis,1,1
00688,PR,Post Office or large volume customer,Sabana Hoyos,10,10
00690,PR,ZIP Code Area,San Antonio,1,1
00692,PR,ZIP Code Area,Vega Alta,1,1
00693,PR,ZIP Code Area,Vega Baja,1,1
00694,PR,Post Office or large volume customer,Vega Baja,1,1
00698,PR,ZIP Code Area,Yauco,1,1
00703,PR,ZIP Code Area,Aguas Buenas,1,1
00704,PR,ZIP Code Area,Aguirre,4,4
00705,PR,ZIP Code Area,Aibonito,4,4
